	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
SLC22A3	1.18400624016008	4.53972120390511	11.6871150970766	6.99832477335171e-27	3.12801112560892e-25	50.2780719030841	up
OLR1	1.77300888785659	5.71862748852783	11.6638970723381	8.51988887284048e-27	3.72937771333121e-25	50.0835825421698	up
TRHDE	-1.88366256123358	5.15010389488655	-11.5454287820752	2.31870186914673e-26	9.59866863371018e-25	49.0938704612046	down
PI3	1.23490785815611	5.0674520957456	11.544423792562	2.33843480839946e-26	9.63822035384109e-25	49.085493725888	up
IFI44	1.1813713508981	5.90075781892458	11.5366768692156	2.4962636609552e-26	1.02389119652739e-24	49.0209329084799	up
ACTA2	1.38342633479272	10.5696408712084	11.5239238261022	2.77950420657208e-26	1.12643065213711e-24	48.9146946059143	up
CENPK	1.09891470733507	4.40579505081984	11.5151604424162	2.99246272030597e-26	1.20409307558155e-24	48.8417223672645	up
CEP55	1.00859466533574	4.34464333129568	11.5131568077956	3.04339048231039e-26	1.2159206313759e-24	48.8250417008895	up
VILL	1.09927543664881	5.74851156492192	11.5032548158877	3.30802781047401e-26	1.3185409672807e-24	48.7426247243658	up
SLC7A2	-1.05618382441985	4.91221282914989	-11.4998199277326	3.40507991215879e-26	1.35403881952981e-24	48.714042653226	down
KLB	-1.07686132503448	3.84628271041165	-11.4940473756729	3.57460778868863e-26	1.41151179348218e-24	48.6660172729602	down
IFI44L	1.58095454059298	6.85667316882739	11.4755903982505	4.17508296476231e-26	1.64097228359799e-24	48.5125352722759	up
CEACAM1	1.14504176908262	5.44360978015922	11.4720262456925	4.30211531751947e-26	1.68698688608287e-24	48.4829097907013	up
P2RX1	-1.2427117329215	5.60942405114496	-11.4536342988701	5.02139583365532e-26	1.92885363768982e-24	48.3301007458623	down
CTSK	1.50248341305295	8.20483834417735	11.4242862750213	6.42487818718568e-26	2.44030126661268e-24	48.0864934789137	up
LCN2	1.87453810863408	8.33527494202087	11.4043684695845	7.59348731314975e-26	2.85852611299459e-24	47.9213248976407	up
GREM1	1.68652073636526	7.57493293648493	11.3877237992508	8.73067397185959e-26	3.22217030682574e-24	47.7833996555704	up
ENTPD1	1.13643602004125	6.01830933832136	11.3820268807095	9.15761318715762e-26	3.36507521454339e-24	47.7362135692718	up
C5	-1.38069267607842	5.56779217544025	-11.3813738002586	9.20786520775204e-26	3.37621724284241e-24	47.7308049648535	down
