	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
DKK1	1.70219321042738	4.7645116268551	12.8238588597871	3.80164919225961e-31	3.35416340192072e-29	59.9909152282078	up
GPX8	1.21466602057668	6.86082756661571	12.8163239596357	4.06189227352408e-31	3.56221382286798e-29	59.9254040944775	up
SGPP2	1.08098961967755	5.65869643003986	12.8113554920004	4.24313573646721e-31	3.68608817311562e-29	59.8822139948153	up
MELK	1.2054265825019	5.2755398876775	12.8018302447519	4.61345018318629e-31	3.98733908689673e-29	59.799429333644	up
ADAM28	1.45205548264759	7.01286965454583	12.7973922058155	4.79682358327737e-31	4.12478129445272e-29	59.7608655460529	up
PLAT	1.69712740481958	8.32946617397998	12.777454603719	5.71446698348515e-31	4.86447591458485e-29	59.5876796213006	up
ERO1B	-1.83124200549782	6.70778393795635	-12.7391556240694	7.99634757720773e-31	6.67281418511817e-29	59.2552734179373	down
SKAP2	1.04299757687771	6.7693715270106	12.7316573813788	8.53967024385521e-31	7.05668360638572e-29	59.1902367347202	up
ANOS1	1.05939031711201	5.03875761715956	12.7239760322562	9.13443084277249e-31	7.46392944223044e-29	59.1236263186312	up
LRRN1	1.25088425825252	4.8428689868196	12.6970241117459	1.15672120269508e-30	9.37552974816009e-29	58.8900232604771	up
SLC2A1	1.1782760005717	5.00587794711787	12.6854778402625	1.27978288704649e-30	1.03235819555084e-28	58.7900026170529	up
PMEPA1	1.06494108682531	6.49695481343811	12.6847864408485	1.28755284508021e-30	1.0337035637753e-28	58.7840143655043	up
NPR3	1.33910346778372	5.59827677602084	12.6802257791021	1.33999700091137e-30	1.06834017209577e-28	58.7445172062586	up
TNFRSF21	1.03100976895522	7.27874664976776	12.6799438069997	1.34330848085242e-30	1.06834017209577e-28	58.7420753861281	up
OAS1	1.25329268983344	6.17249581712672	12.6749367295632	1.40348885242638e-30	1.10915191063609e-28	58.6987184557364	up
SRPX2	1.46951153900435	6.44567461013281	12.6745928391096	1.40771936710012e-30	1.10915191063609e-28	58.695740895037	up
MCOLN3	-1.00685561885514	4.56540662451639	-12.6658493088299	1.51965744772902e-30	1.18631323338846e-28	58.6200454069154	down
OAS2	1.24914106263526	5.68132371686224	12.5990246769235	2.72543961074506e-30	2.07035636798302e-28	58.0421624660216	up
ECM1	1.02632567171986	6.36125200053226	12.5647382785392	3.67629225049022e-30	2.73142064575896e-28	57.74610453899	up
GABRP	2.38758194471686	6.03052435920027	12.5106373316807	5.89157179717919e-30	4.26509513864169e-28	57.279568579692	up
COMP	1.92785959473439	6.54165223266916	12.5012070298259	6.39587379862942e-30	4.61047243186308e-28	57.198324963132	up
ARL4C	1.23177953436395	7.09571706916629	12.4964893974495	6.66407493480823e-30	4.78345039812082e-28	57.1576905090038	up
TFAP2A	1.12564380519317	4.64567568268706	12.4947609828532	6.76511742245301e-30	4.83548899309511e-28	57.1428045889045	up
NMU	1.4166788300159	4.28925985250235	12.4832679091451	7.476946690521e-30	5.32182676207671e-28	57.0438407603456	up
MSLN	1.46859941747675	5.31766616978613	12.4705814017539	8.34963716652478e-30	5.91811102932761e-28	56.9346409064668	up
FNDC1	1.71467760192308	6.31103458822429	12.4648217395259	8.77865145774479e-30	6.19626482059153e-28	56.8850782732195	up
BCAS1	1.26348418260364	5.38382476724817	12.4393706980975	1.09531131074825e-29	7.66717917523778e-28	56.6661737884658	up
WISP1	1.05726168271494	5.11822649649372	12.4077636572966	1.44142154431511e-29	9.80629757457747e-28	56.3945610584191	up
COL3A1	1.85391747442614	11.008615420097	12.3626384794416	2.1323041224724e-29	1.41098561854229e-27	56.0072447069119	up
COL1A1	1.67651093715311	11.0806637944081	12.3536692349327	2.30474254864382e-29	1.51915715074032e-27	55.9303256669143	up
COL5A1	1.38919318548763	7.49840829635492	12.3210340115812	3.057945103338e-29	1.99236884809791e-27	55.6506344900738	up
TOP2A	1.46253034459301	5.36306158637618	12.3030945831018	3.57176712125247e-29	2.30937919977163e-27	55.4970131586103	up
TGFBI	1.32842167297925	8.64063907832064	12.2966086089925	3.77799619317274e-29	2.42421422395251e-27	55.4414932641682	up
TPX2	1.12656916518305	4.74807489296552	12.2900947779954	3.99705026546316e-29	2.55509552818664e-27	55.3857465263552	up
SLC39A10	1.03030188816447	6.7079551551406	12.2833630297035	4.23673542887188e-29	2.69777696736189e-27	55.3281470512301	up
RSAD2	1.1082219922162	5.30388068484578	12.2829444255963	4.25210419294938e-29	2.69777696736189e-27	55.3245657219872	up
CLDN18	2.34213334906425	6.40560096074163	12.2790922000884	4.39616948335914e-29	2.77877280030238e-27	55.2916106216466	up
FHL2	1.13011672927307	7.52681255101098	12.2747871528767	4.56293058133711e-29	2.85225254789117e-27	55.2547865471506	up
TTN	-1.00930533662581	4.36538963662435	-12.271249041554	4.70469093963987e-29	2.93005384255512e-27	55.2245264343916	down
CCNB1	1.16085758854031	5.28648855444608	12.2091096331801	8.04730126038225e-29	4.8860675036156e-27	54.6936371243274	up
SULF2	1.46860776241995	7.51048831805881	12.1365026179838	1.50470327384897e-28	8.91247323741315e-27	54.0746867071929	up
SEC11C	-1.00416177183409	7.72613488760354	-12.1272358751089	1.62964997251888e-28	9.58551060224646e-27	53.9957981433619	down
ANXA3	1.21487349614723	7.63120972832359	12.1268266109469	1.63540045623657e-28	9.58604973309601e-27	53.9923146065036	up
SLC16A4	1.18574107998583	6.22314035302666	12.1218864920882	1.7064284220008e-28	9.96789567885987e-27	53.950269523806	up
CORIN	1.21259870552719	4.25026122686607	12.1214656334448	1.71261963895644e-28	9.96968270925158e-27	53.9466879403196	up
EPSTI1	1.27753374453099	6.09317543288284	12.0954939360536	2.14131697112667e-28	1.21724528492905e-26	53.7257619836452	up
FRMD6	1.09001932012631	7.25683718092001	12.0608276642491	2.88436986380007e-28	1.61295273470888e-26	53.4311779814343	up
PTPRR	1.15273018578431	3.92623047058093	12.0606695703736	2.88828865391793e-28	1.61295273470888e-26	53.4298353385524	up
LOXL1	1.06302101877774	6.80664368575306	12.0579348510365	2.95692168745088e-28	1.64230338968583e-26	53.4066113476443	up
LIFR	-1.02605602287044	5.12160833975301	-12.0314466412929	3.71176396072607e-28	2.03486347879287e-26	53.1817782554734	down
CRIP1	1.16522480439645	6.69565112269223	12.0100669239029	4.45875881920693e-28	2.42087738453094e-26	53.0004550137031	up
POSTN	1.75302806835215	5.38720759174873	12.0089281213526	4.5025039711789e-28	2.43681844318756e-26	52.9908004706437	up
ANKRD22	1.47309191374084	6.10642517565896	12.0004877108682	4.84033426384449e-28	2.60302420411192e-26	52.9192561571414	up
MX2	1.06076446120072	6.17774366948461	11.9931770318467	5.1532794785144e-28	2.75383452258782e-26	52.8573047554753	up
SPARC	1.53208727537936	10.4250868311995	11.9855017419273	5.50353557013608e-28	2.92256716483088e-26	52.7922804688984	up
TIMP1	1.36699007288609	9.95348552532811	11.9710943411029	6.22627792492822e-28	3.29603587650888e-26	52.6702691566119	up
COL6A3	1.5592462496805	10.1813739304038	11.942247383795	7.96971033357319e-28	4.16687941514598e-26	52.426158207901	up
MATN3	1.49373833513854	4.74433847387642	11.9416540590897	8.01025989903648e-28	4.17519392891317e-26	52.4211399136294	up
ASPM	1.29768221308354	4.50475923491349	11.9276228360476	9.03142818055948e-28	4.62212668817757e-26	52.3024953671643	up
DPYSL3	1.36571675264884	6.23677355034598	11.9045879626545	1.09963839642021e-27	5.57720791477795e-26	52.1078452160256	up
CTSB	1.08062939378499	9.78081596214948	11.874111024056	1.42646047276169e-27	7.14918355283524e-26	51.8505516636311	up
SERPINB5	1.35154351249728	3.66718442282672	11.8482619008057	1.77834270009772e-27	8.77929797087702e-26	51.6325461285257	up
S100A14	1.32151513090997	6.18978736813144	11.8479676924877	1.78280903304704e-27	8.77929797087702e-26	51.6300660045763	up
ANXA10	2.23169702364613	6.46519378610913	11.8374088506166	1.95071469212928e-27	9.5506089262052e-26	51.5410741832128	up
PLAC8	1.99638062034499	6.99536688773963	11.8273730456168	2.12487285221081e-27	1.02843846047003e-25	51.4565219371834	up
CCL20	1.76396475766198	5.49474233770233	11.7928796176389	2.85023966938424e-27	1.35246666664899e-25	51.1661464898702	up
DLGAP5	1.15146903211326	4.32482361451062	11.7698528981022	3.46690346101535e-27	1.62340776788814e-25	50.9725035340001	up
EPHA4	1.00099587468582	5.22144826200989	11.7604415277551	3.75566706616471e-27	1.74315886009913e-25	50.8934056063715	up
SERPINH1	1.1136204497506	7.36067614983029	11.7375101595586	4.56348992533467e-27	2.08370672062451e-25	50.700793125084	up
PAIP2B	-1.75352936084285	5.7623165101863	-11.7161405990492	5.47118758043591e-27	2.47812613937391e-25	50.5214456040582	down
