ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
CCNB1,1.160857589,5.286488554,12.20910963,8.05E-29,4.89E-27,54.69363712
SULF2,1.468607762,7.510488318,12.13650262,1.50E-28,8.91E-27,54.07468671
SEC11C,-1.004161772,7.726134888,-12.12723588,1.63E-28,9.59E-27,53.99579814
ANXA3,1.214873496,7.631209728,12.12682661,1.64E-28,9.59E-27,53.99231461
SLC16A4,1.18574108,6.223140353,12.12188649,1.71E-28,9.97E-27,53.95026952
CORIN,1.212598706,4.250261227,12.12146563,1.71E-28,9.97E-27,53.94668794
EPSTI1,1.277533745,6.093175433,12.09549394,2.14E-28,1.22E-26,53.72576198
FRMD6,1.09001932,7.256837181,12.06082766,2.88E-28,1.61E-26,53.43117798
PTPRR,1.152730186,3.926230471,12.06066957,2.89E-28,1.61E-26,53.42983534
LOXL1,1.063021019,6.806643686,12.05793485,2.96E-28,1.64E-26,53.40661135
LIFR,-1.026056023,5.12160834,-12.03144664,3.71E-28,2.03E-26,53.18177826
CRIP1,1.165224804,6.695651123,12.01006692,4.46E-28,2.42E-26,53.00045501
POSTN,1.753028068,5.387207592,12.00892812,4.50E-28,2.44E-26,52.99080047
ANKRD22,1.473091914,6.106425176,12.00048771,4.84E-28,2.60E-26,52.91925616
MX2,1.060764461,6.177743669,11.99317703,5.15E-28,2.75E-26,52.85730476
SPARC,1.532087275,10.42508683,11.98550174,5.50E-28,2.92E-26,52.79228047
TIMP1,1.366990073,9.953485525,11.97109434,6.23E-28,3.30E-26,52.67026916
COL6A3,1.55924625,10.18137393,11.94224738,7.97E-28,4.17E-26,52.42615821
MATN3,1.493738335,4.744338474,11.94165406,8.01E-28,4.18E-26,52.42113991
ASPM,1.297682213,4.504759235,11.92762284,9.03E-28,4.62E-26,52.30249537
DPYSL3,1.365716753,6.23677355,11.90458796,1.10E-27,5.58E-26,52.10784522
CTSB,1.080629394,9.780815962,11.87411102,1.43E-27,7.15E-26,51.85055166
SERPINB5,1.351543512,3.667184423,11.8482619,1.78E-27,8.78E-26,51.63254613
S100A14,1.321515131,6.189787368,11.84796769,1.78E-27,8.78E-26,51.630066
ANXA10,2.231697024,6.465193786,11.83740885,1.95E-27,9.55E-26,51.54107418
PLAC8,1.99638062,6.995366888,11.82737305,2.12E-27,1.03E-25,51.45652194
CCL20,1.763964758,5.494742338,11.79287962,2.85E-27,1.35E-25,51.16614649
DLGAP5,1.151469032,4.324823615,11.7698529,3.47E-27,1.62E-25,50.97250353
EPHA4,1.000995875,5.221448262,11.76044153,3.76E-27,1.74E-25,50.89340561
SERPINH1,1.11362045,7.36067615,11.73751016,4.56E-27,2.08E-25,50.70079313
PAIP2B,-1.753529361,5.76231651,-11.7161406,5.47E-27,2.48E-25,50.5214456
SLC22A3,1.18400624,4.539721204,11.6871151,7.00E-27,3.13E-25,50.2780719
OLR1,1.773008888,5.718627489,11.66389707,8.52E-27,3.73E-25,50.08358254
TRHDE,-1.883662561,5.150103895,-11.54542878,2.32E-26,9.60E-25,49.09387046
PI3,1.234907858,5.067452096,11.54442379,2.34E-26,9.64E-25,49.08549373
IFI44,1.181371351,5.900757819,11.53667687,2.50E-26,1.02E-24,49.02093291
ACTA2,1.383426335,10.56964087,11.52392383,2.78E-26,1.13E-24,48.91469461
CENPK,1.098914707,4.405795051,11.51516044,2.99E-26,1.20E-24,48.84172237
CEP55,1.008594665,4.344643331,11.51315681,3.04E-26,1.22E-24,48.8250417
VILL,1.099275437,5.748511565,11.50325482,3.31E-26,1.32E-24,48.74262472
SLC7A2,-1.056183824,4.912212829,-11.49981993,3.41E-26,1.35E-24,48.71404265
KLB,-1.076861325,3.84628271,-11.49404738,3.57E-26,1.41E-24,48.66601727
IFI44L,1.580954541,6.856673169,11.4755904,4.18E-26,1.64E-24,48.51253527
CEACAM1,1.145041769,5.44360978,11.47202625,4.30E-26,1.69E-24,48.48290979
P2RX1,-1.242711733,5.609424051,-11.4536343,5.02E-26,1.93E-24,48.33010075
CTSK,1.502483413,8.204838344,11.42428628,6.42E-26,2.44E-24,48.08649348
LCN2,1.874538109,8.335274942,11.40436847,7.59E-26,2.86E-24,47.9213249
GREM1,1.686520736,7.574932936,11.3877238,8.73E-26,3.22E-24,47.78339966
ENTPD1,1.13643602,6.018309338,11.38202688,9.16E-26,3.37E-24,47.73621357
C5,-1.380692676,5.567792175,-11.3813738,9.21E-26,3.38E-24,47.73080496
TMPRSS3,1.100729805,5.416962568,11.37531076,9.69E-26,3.53E-24,47.68059959
MALL,1.303744972,6.680615841,11.36906937,1.02E-25,3.70E-24,47.62893015
LEMD1,1.11586793,3.968865552,11.32372702,1.49E-25,5.24E-24,47.25395439
OLFML2B,1.462512779,6.593945968,11.3051843,1.74E-25,6.07E-24,47.10080749
SFTA2,1.227774938,5.019127631,11.29694388,1.87E-25,6.45E-24,47.03278594
GCNT3,1.736593781,7.097266968,11.27657138,2.21E-25,7.57E-24,46.86471759
LGALS1,1.116775507,9.214226209,11.27328689,2.27E-25,7.76E-24,46.83763451
LAMP5,1.471904464,5.988826524,11.27018234,2.33E-25,7.92E-24,46.81203854
ALOX5AP,1.204143828,7.564069832,11.25362934,2.68E-25,8.95E-24,46.6756201
ID1,1.122596643,6.800819178,11.16660924,5.53E-25,1.78E-23,45.9600066
KYNU,1.066109812,5.714978957,11.15430868,6.12E-25,1.97E-23,45.85906359
MX1,1.144868054,7.158220554,11.14400108,6.67E-25,2.13E-23,45.77451618
ESRRG,-1.083879969,4.556539996,-11.13657981,7.09E-25,2.25E-23,45.71366662
DHRS9,1.408662125,5.373323558,11.13636903,7.10E-25,2.25E-23,45.71193862
MMP12,1.987112391,5.439779967,11.13519678,7.17E-25,2.27E-23,45.70232879
TPM2,1.224811923,7.959706201,11.13374968,7.26E-25,2.29E-23,45.69046644
ASPN,1.301507741,8.777407806,11.11919539,8.19E-25,2.56E-23,45.57120122
FLNA,1.013697936,8.392337284,11.11607953,8.40E-25,2.62E-23,45.54567789
CDK1,1.063155983,4.878950426,11.09642662,9.89E-25,3.04E-23,45.38477131
EDIL3,1.194776597,5.051692362,11.04615808,1.50E-24,4.51E-23,44.97382196
COL4A2,1.064778791,8.628773203,11.02526986,1.78E-24,5.31E-23,44.80332294
TNFAIP6,1.564690452,5.861425904,10.9986226,2.22E-24,6.55E-23,44.58604222
BST2,1.057673181,6.681421422,10.98731066,2.44E-24,7.14E-23,44.49388205
PDGFRB,1.052253829,7.476195109,10.98494551,2.48E-24,7.27E-23,44.4746186
GPX2,1.614358299,6.825227068,10.96113579,3.02E-24,8.72E-23,44.28080796
MUCL3,2.091214571,5.328851193,10.94295288,3.51E-24,1.01E-22,44.13293734
IGFBP5,1.265494269,6.73533582,10.9380515,3.66E-24,1.05E-22,44.09309791
RGN,-1.252402261,5.456855778,-10.93754091,3.67E-24,1.05E-22,44.08894818
ACSL5,1.383899387,7.157322853,10.91339086,4.48E-24,1.27E-22,43.89278351
NT5E,1.16976954,5.157727083,10.90451752,4.82E-24,1.36E-22,43.82076094
ACADL,-1.60523741,5.245543511,-10.88110537,5.84E-24,1.62E-22,43.63086911
MT1G,-1.355431942,9.799533845,-10.87246208,6.27E-24,1.74E-22,43.56081568
PXDN,1.226713524,6.968901734,10.87220106,6.28E-24,1.74E-22,43.55870054
C2CD4B,-1.094001854,4.7822294,-10.79402614,1.19E-23,3.17E-22,42.92635716
LGALS2,-1.36038525,6.41914895,-10.79058265,1.23E-23,3.25E-22,42.8985556
DPP10,-1.448200094,3.868983689,-10.78708553,1.26E-23,3.34E-22,42.87032547
