	logFC	AveExpr	t	P.Value	adj.P.Val	B
CTTNBP2NL	0.848344597156173	7.02450673572554	13.2611380564904	7.9674598031985e-33	9.24443623740976e-31	63.8155598540008
IL1RN	1.49650858401818	5.58929137389503	13.2599562408799	8.05159211920584e-33	9.27850139451339e-31	63.8051649707543
LTBP1	1.09235235895687	6.94789386196222	13.2292141639778	1.05803991499212e-32	1.2110267675653e-30	63.5348742357729
ARHGAP1	0.672484955104628	8.42825041939392	13.2244133943567	1.10412459983276e-32	1.25529333699107e-30	63.4926835381406
PCDH7	1.14598435002235	4.96339305371865	13.2218051307731	1.1299961253273e-32	1.27614229086964e-30	63.4697634052894
TMC5	2.13325548467305	7.00058758123764	13.2141237255905	1.20975337925846e-32	1.35716703606876e-30	63.4022716947347
CD55	1.28223012668922	8.32856493929851	13.2104301288184	1.25007925750351e-32	1.39318043566509e-30	63.3698229893529
SDK1	-0.673529763231055	4.36980050455835	-13.205197648187	1.30951121124447e-32	1.44987711885499e-30	63.3238601449005
ITGB1	0.85286626339129	9.42867005203595	13.1906282524744	1.49025913933486e-32	1.63928505326835e-30	63.1959123803197
COL1A2	1.85158709600081	11.3104159399753	13.1844669855405	1.57399056221379e-32	1.72021936283236e-30	63.1418185500483
RIC3	-0.613658866446753	4.10986332954199	-13.1732276784778	1.73900003622666e-32	1.88837568036408e-30	63.0431629517915
MXRA5	1.43499175647188	8.33454521951354	13.1699778742945	1.78985001185823e-32	1.93121396183939e-30	63.0146422829656
BGN	1.47686157405295	8.63849969836078	13.1624602003014	1.91323388740756e-32	2.05127734510658e-30	62.9486752937485
BHLHE40	1.0389824275755	7.22230355873923	13.1221628906924	2.73441726919427e-32	2.91327223522962e-30	62.5952851056521
LGALS3BP	1.03072079622405	8.12985773731018	13.1038319238632	3.21636363044602e-32	3.40532499373473e-30	62.4346512220797
TGM2	1.52956714427708	7.24662975647822	13.0835798211771	3.84783128688193e-32	4.04858770184968e-30	62.2572709245774
RALA	0.79746810090594	6.89580635536356	13.0716238613704	4.27717414831006e-32	4.47255123903533e-30	62.1525970977052
MPZL1	0.647201804296374	7.40717408195614	13.0547414172304	4.96596869368531e-32	5.16095151356007e-30	62.0048477263671
IRS1	0.71815830477132	6.07597672134701	13.0074242115578	7.54403115394692e-32	7.79243217974761e-30	61.5910927240829
PLAUR	1.20644068324235	7.03287718441376	13.0009346233012	7.98900318875092e-32	8.20204327378428e-30	61.5343862834635
